Category,City,Country/Region,Customer Name,Manufacturer,Order Date,Order ID,Postal Code,Product Name,Region,Segment,Ship Date,Ship Mode,State,Sub-Category,Discount,Number of Records,Profit,Profit Ratio,Profit Ratio (copy),Quantity,Sales
Furniture,Henderson,United States,Claire Gute,Bush,11/8/2018,CA-2018-152156,42420,Bush Somerset Collection Bookcase,South,Consumer,11/11/2018,Second Class,Kentucky,Bookcases,0%,1,$42,16%,16%,2,$262
Furniture,Henderson,United States,Claire Gute,Hon,11/8/2018,CA-2018-152156,42420,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",South,Consumer,11/11/2018,Second Class,Kentucky,Chairs,0%,1,$220,30%,30%,3,$732
Office Supplies,Los Angeles,United States,Darrin Van Huff,Universal,6/12/2018,CA-2018-138688,90036,Self-Adhesive Address Labels for Typewriters by Universal,West,Corporate,6/16/2018,Second Class,California,Labels,0%,1,$7,47%,47%,2,$15
Furniture,Fort Lauderdale,United States,Sean O'Donnell,Bretford,10/11/2017,US-2017-108966,33311,Bretford CR4500 Series Slim Rectangular Table,South,Consumer,10/18/2017,Standard Class,Florida,Tables,45%,1,-$383,-40%,-40%,5,$958
Office Supplies,Fort Lauderdale,United States,Sean O'Donnell,Eldon,10/11/2017,US-2017-108966,33311,Eldon Fold 'N Roll Cart System,South,Consumer,10/18/2017,Standard Class,Florida,Storage,20%,1,$3,11%,11%,2,$22
Furniture,Los Angeles,United States,Brosina Hoffman,Eldon,6/9/2016,CA-2016-115812,90032,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",West,Consumer,6/14/2016,Standard Class,California,Furnishings,0%,1,$14,29%,29%,7,$49
Office Supplies,Los Angeles,United States,Brosina Hoffman,Newell,6/9/2016,CA-2016-115812,90032,Newell 322,West,Consumer,6/14/2016,Standard Class,California,Art,0%,1,$2,27%,27%,4,$7
Technology,Los Angeles,United States,Brosina Hoffman,Mitel,6/9/2016,CA-2016-115812,90032,Mitel 5320 IP Phone VoIP phone,West,Consumer,6/14/2016,Standard Class,California,Phones,20%,1,$91,10%,10%,6,$907
Office Supplies,Los Angeles,United States,Brosina Hoffman,DXL,6/9/2016,CA-2016-115812,90032,DXL Angle-View Binders with Locking Rings by Samsill,West,Consumer,6/14/2016,Standard Class,California,Binders,20%,1,$6,31%,31%,3,$19
Office Supplies,Los Angeles,United States,Brosina Hoffman,Belkin,6/9/2016,CA-2016-115812,90032,Belkin F5C206VTEL 6 Outlet Surge,West,Consumer,6/14/2016,Standard Class,California,Appliances,0%,1,$34,30%,30%,5,$115
Furniture,Los Angeles,United States,Brosina Hoffman,Chromcraft,6/9/2016,CA-2016-115812,90032,Chromcraft Rectangular Conference Tables,West,Consumer,6/14/2016,Standard Class,California,Tables,20%,1,$85,5%,5%,9,"$1,706"
Technology,Los Angeles,United States,Brosina Hoffman,Other,6/9/2016,CA-2016-115812,90032,Konftel 250 Conference phone - Charcoal black,West,Consumer,6/14/2016,Standard Class,California,Phones,20%,1,$68,8%,8%,4,$911
Office Supplies,Concord,United States,Andrew Allen,Xerox,4/15/2019,CA-2019-114412,28027,Xerox 1967,South,Consumer,4/20/2019,Standard Class,North Carolina,Paper,20%,1,$5,35%,35%,3,$16
Office Supplies,Seattle,United States,Irene Maddox,Fellowes,12/5/2018,CA-2018-161389,98103,Fellowes PB200 Plastic Comb Binding Machine,West,Consumer,12/10/2018,Standard Class,Washington,Binders,20%,1,$133,33%,33%,3,$408
Office Supplies,Fort Worth,United States,Harold Pawlan,Holmes,11/22/2017,US-2017-118983,76106,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",Central,Home Office,11/26/2017,Standard Class,Texas,Appliances,80%,1,-$124,-180%,-180%,5,$69
Office Supplies,Fort Worth,United States,Harold Pawlan,Storex,11/22/2017,US-2017-118983,76106,Storex DuraTech Recycled Plastic Frosted Binders,Central,Home Office,11/26/2017,Standard Class,Texas,Binders,80%,1,-$4,-150%,-150%,3,$3
Office Supplies,Madison,United States,Pete Kriz,Other,11/11/2016,CA-2016-105893,53711,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",Central,Consumer,11/18/2016,Standard Class,Wisconsin,Storage,0%,1,$13,2%,2%,6,$666
Office Supplies,West Jordan,United States,Alejandro Grove,Fellowes,5/13/2016,CA-2016-167164,84084,Fellowes Super Stor/Drawer,West,Consumer,5/15/2016,Second Class,Utah,Storage,0%,1,$10,18%,18%,2,$56
Office Supplies,San Francisco,United States,Zuschuss Donatelli,Newell,8/27/2016,CA-2016-143336,94109,Newell 341,West,Consumer,9/1/2016,Second Class,California,Art,0%,1,$2,29%,29%,2,$9
Technology,San Francisco,United States,Zuschuss Donatelli,Cisco,8/27/2016,CA-2016-143336,94109,Cisco SPA 501G IP Phone,West,Consumer,9/1/2016,Second Class,California,Phones,20%,1,$16,7%,7%,3,$213
Office Supplies,San Francisco,United States,Zuschuss Donatelli,Wilson Jones,8/27/2016,CA-2016-143336,94109,"Wilson Jones Hanging View Binder, White, 1""",West,Consumer,9/1/2016,Second Class,California,Binders,20%,1,$7,33%,33%,4,$23
Office Supplies,Fremont,United States,Ken Black,Newell,12/9/2018,CA-2018-137330,68025,Newell 318,Central,Corporate,12/13/2018,Standard Class,Nebraska,Art,0%,1,$5,26%,26%,7,$19
Office Supplies,Fremont,United States,Ken Black,Acco,12/9/2018,CA-2018-137330,68025,"Acco Six-Outlet Power Strip, 4' Cord Length",Central,Corporate,12/13/2018,Standard Class,Nebraska,Appliances,0%,1,$16,26%,26%,7,$60
Furniture,Philadelphia,United States,Sandra Flanagan,Global,7/16/2019,US-2019-156909,19140,"Global Deluxe Stacking Chair, Gray",East,Consumer,7/18/2019,Second Class,Pennsylvania,Chairs,30%,1,-$1,-1%,-1%,2,$71
Furniture,Orem,United States,Emily Burns,Bretford,9/25/2017,CA-2017-106320,84057,Bretford CR4500 Series Slim Rectangular Table,West,Consumer,9/30/2017,Standard Class,Utah,Tables,0%,1,$240,23%,23%,3,"$1,045"
Office Supplies,Los Angeles,United States,Eric Hoffmann,Wilson Jones,1/16/2018,CA-2018-121755,90049,Wilson Jones Active Use Binders,West,Consumer,1/20/2018,Second Class,California,Binders,20%,1,$4,36%,36%,2,$12
Technology,Los Angeles,United States,Eric Hoffmann,Other,1/16/2018,CA-2018-121755,90049,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,West,Consumer,1/20/2018,Second Class,California,Accessories,0%,1,$12,13%,13%,3,$91
Furniture,Philadelphia,United States,Tracy Blumstein,Riverside,9/17/2017,US-2017-150630,19140,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",East,Consumer,9/21/2017,Standard Class,Pennsylvania,Bookcases,50%,1,"-$1,665",-54%,-54%,7,"$3,083"
Office Supplies,Philadelphia,United States,Tracy Blumstein,Avery,9/17/2017,US-2017-150630,19140,Avery Recycled Flexi-View Covers for Binding Systems,East,Consumer,9/21/2017,Standard Class,Pennsylvania,Binders,70%,1,-$7,-73%,-73%,2,$10
Furniture,Philadelphia,United States,Tracy Blumstein,Howard Miller,9/17/2017,US-2017-150630,19140,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",East,Consumer,9/21/2017,Standard Class,Pennsylvania,Furnishings,20%,1,$16,13%,13%,3,$124
Office Supplies,Philadelphia,United States,Tracy Blumstein,Poly,9/17/2017,US-2017-150630,19140,Poly String Tie Envelopes,East,Consumer,9/21/2017,Standard Class,Pennsylvania,Envelopes,20%,1,$1,34%,34%,2,$3
Office Supplies,Philadelphia,United States,Tracy Blumstein,Boston,9/17/2017,US-2017-150630,19140,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",East,Consumer,9/21/2017,Standard Class,Pennsylvania,Art,20%,1,$10,11%,11%,6,$86
Office Supplies,Philadelphia,United States,Tracy Blumstein,Acco,9/17/2017,US-2017-150630,19140,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",East,Consumer,9/21/2017,Standard Class,Pennsylvania,Binders,70%,1,-$6,-83%,-83%,6,$7
Office Supplies,Philadelphia,United States,Tracy Blumstein,Other,9/17/2017,US-2017-150630,19140,Lumber Crayons,East,Consumer,9/21/2017,Standard Class,Pennsylvania,Art,20%,1,$4,23%,23%,2,$16
Office Supplies,Houston,United States,Matt Abelman,Easy-staple paper,10/19/2019,CA-2019-107727,77095,Easy-staple paper,Central,Home Office,10/23/2019,Second Class,Texas,Paper,20%,1,$10,34%,34%,3,$29
Technology,Richardson,United States,Gene Hale,GE,12/8/2018,CA-2018-117590,75080,GE 30524EE4,Central,Corporate,12/10/2018,First Class,Texas,Phones,20%,1,$123,11%,11%,7,"$1,098"
Furniture,Richardson,United States,Gene Hale,Electrix,12/8/2018,CA-2018-117590,75080,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",Central,Corporate,12/10/2018,First Class,Texas,Furnishings,60%,1,-$148,-78%,-78%,5,$191
Office Supplies,Houston,United States,Steve Nguyen,Other,12/27/2017,CA-2017-117415,77041,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",Central,Home Office,12/31/2017,Standard Class,Texas,Envelopes,20%,1,$35,31%,31%,9,$113
Furniture,Houston,United States,Steve Nguyen,Atlantic,12/27/2017,CA-2017-117415,77041,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",Central,Home Office,12/31/2017,Standard Class,Texas,Bookcases,32%,1,-$47,-9%,-9%,3,$532
Furniture,Houston,United States,Steve Nguyen,Global,12/27/2017,CA-2017-117415,77041,"Global Fabric Manager's Chair, Dark Gray",Central,Home Office,12/31/2017,Standard Class,Texas,Chairs,30%,1,-$15,-7%,-7%,3,$212
Technology,Houston,United States,Steve Nguyen,Plantronics,12/27/2017,CA-2017-117415,77041,Plantronics HL10 Handset Lifter,Central,Home Office,12/31/2017,Standard Class,Texas,Phones,20%,1,$42,11%,11%,4,$371
Technology,Naperville,United States,Linda Cazamias,Panasonic,9/10/2019,CA-2019-120999,60540,Panasonic Kx-TS550,Central,Corporate,9/15/2019,Standard Class,Illinois,Phones,20%,1,$17,11%,11%,4,$147
Office Supplies,Los Angeles,United States,Ruben Ausman,Eldon,7/17/2018,CA-2018-101343,90049,"Eldon Base for stackable storage shelf, platinum",West,Corporate,7/22/2018,Standard Class,California,Storage,0%,1,$4,5%,5%,2,$78
Office Supplies,Melbourne,United States,Erin Smith,Advantus,9/19/2019,CA-2019-139619,32935,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",South,Corporate,9/23/2019,Standard Class,Florida,Storage,20%,1,$10,10%,10%,2,$96
Technology,Eagan,United States,Odella Nelson,Verbatim,3/11/2018,CA-2018-118255,55122,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",Central,Corporate,3/13/2018,First Class,Minnesota,Accessories,0%,1,$20,43%,43%,2,$46
Office Supplies,Eagan,United States,Odella Nelson,Wilson Jones,3/11/2018,CA-2018-118255,55122,Wilson Jones Leather-Like Binders with DublLock Round Rings,Central,Corporate,3/13/2018,First Class,Minnesota,Binders,0%,1,$8,47%,47%,2,$17
Office Supplies,Westland,United States,Patrick O'Donnell,Gould Plastics,10/20/2016,CA-2016-146703,48185,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",Central,Consumer,10/25/2016,Second Class,Michigan,Storage,0%,1,$8,4%,4%,4,$212
Technology,Dover,United States,Lena Hernandez,Imation,6/20/2018,CA-2018-169194,19901,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,East,Consumer,6/25/2018,Standard Class,Delaware,Accessories,0%,1,$5,11%,11%,3,$45
Technology,Dover,United States,Lena Hernandez,Other,6/20/2018,CA-2018-169194,19901,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",East,Consumer,6/25/2018,Standard Class,Delaware,Phones,0%,1,$6,28%,28%,2,$22
Office Supplies,New Albany,United States,Darren Powers,C-Line,4/18/2017,CA-2017-115742,47150,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",Central,Consumer,4/22/2017,Standard Class,Indiana,Binders,0%,1,$18,47%,47%,6,$38
Office Supplies,New Albany,United States,Darren Powers,Avery,4/18/2017,CA-2017-115742,47150,Avery 485,Central,Consumer,4/22/2017,Standard Class,Indiana,Labels,0%,1,$35,47%,47%,6,$75
Furniture,New Albany,United States,Darren Powers,Other,4/18/2017,CA-2017-115742,47150,Longer-Life Soft White Bulbs,Central,Consumer,4/22/2017,Standard Class,Indiana,Furnishings,0%,1,$3,48%,48%,2,$6
Furniture,New Albany,United States,Darren Powers,Global,4/18/2017,CA-2017-115742,47150,"Global Leather Task Chair, Black",Central,Consumer,4/22/2017,Standard Class,Indiana,Chairs,0%,1,$17,19%,19%,1,$90
Office Supplies,New York City,United States,Janet Molinari,Advantus,12/11/2018,CA-2018-105816,10024,Advantus Push Pins,East,Corporate,12/17/2018,Standard Class,New York,Fasteners,0%,1,$6,41%,41%,7,$15
Technology,New York City,United States,Janet Molinari,AT&T,12/11/2018,CA-2018-105816,10024,AT&T CL83451 4-Handset Telephone,East,Corporate,12/17/2018,Standard Class,New York,Phones,0%,1,$299,29%,29%,5,"$1,030"
Office Supplies,Troy,United States,Ted Butterfield,Other,6/17/2018,CA-2018-111682,12180,Home/Office Personal File Carts,East,Consumer,6/18/2018,First Class,New York,Storage,0%,1,$52,25%,25%,6,$209
Office Supplies,Troy,United States,Ted Butterfield,Xerox,6/17/2018,CA-2018-111682,12180,Xerox 232,East,Consumer,6/18/2018,First Class,New York,Paper,0%,1,$16,48%,48%,5,$32
Furniture,Troy,United States,Ted Butterfield,Novimex,6/17/2018,CA-2018-111682,12180,Novimex Turbo Task Chair,East,Consumer,6/18/2018,First Class,New York,Chairs,10%,1,$7,2%,2%,5,$319
